family,month,mentions_12m,videos_12m,soc_share
Grape,2024-02,8,328,0.032
Apple & pear,2024-02,22,328,0.088
Peach & stone fruit,2024-02,9,328,0.036
Tea & botanical,2024-02,32,328,0.128
Punch & mixed fruit,2024-02,16,328,0.064
Watermelon,2024-03,7,315,0.029412
Coffee & cream,2024-03,33,315,0.138655
Sour & candy,2024-03,14,315,0.058824
Cola & soda,2024-03,12,315,0.05042
Berry,2024-03,33,315,0.138655
Tropical,2024-03,29,315,0.121849
Citrus,2024-03,25,315,0.105042
Grape,2024-03,7,315,0.029412
Apple & pear,2024-03,18,315,0.07563
Peach & stone fruit,2024-03,9,315,0.037815
Tea & botanical,2024-03,34,315,0.142857
Punch & mixed fruit,2024-03,17,315,0.071429
Watermelon,2024-04,8,310,0.033473
Coffee & cream,2024-04,35,310,0.146444
Sour & candy,2024-04,16,310,0.066946
Cola & soda,2024-04,12,310,0.050209
Berry,2024-04,31,310,0.129707
Tropical,2024-04,29,310,0.121339
Citrus,2024-04,24,310,0.100418
Grape,2024-04,6,310,0.025105
Apple & pear,2024-04,17,310,0.07113
Peach & stone fruit,2024-04,8,310,0.033473
Tea & botanical,2024-04,35,310,0.146444
Punch & mixed fruit,2024-04,18,310,0.075314
Watermelon,2024-05,7,304,0.032558
Coffee & cream,2024-05,34,304,0.15814
Sour & candy,2024-05,16,304,0.074419
Cola & soda,2024-05,12,304,0.055814
Berry,2024-05,25,304,0.116279
Tropical,2024-05,24,304,0.111628
Citrus,2024-05,20,304,0.093023
Grape,2024-05,3,304,0.013953
Apple & pear,2024-05,14,304,0.065116
Peach & stone fruit,2024-05,7,304,0.032558
Tea & botanical,2024-05,37,304,0.172093
Punch & mixed fruit,2024-05,16,304,0.074419
Watermelon,2024-06,8,302,0.040201
Coffee & cream,2024-06,31,302,0.155779
Sour & candy,2024-06,14,302,0.070352
Cola & soda,2024-06,14,302,0.070352
Berry,2024-06,25,302,0.125628
Tropical,2024-06,16,302,0.080402
Citrus,2024-06,20,302,0.100503
Grape,2024-06,2,302,0.01005
Apple & pear,2024-06,15,302,0.075377
Peach & stone fruit,2024-06,8,302,0.040201
Tea & botanical,2024-06,34,302,0.170854
Punch & mixed fruit,2024-06,12,302,0.060302
Watermelon,2024-07,6,300,0.029703
Coffee & cream,2024-07,28,300,0.138614
Sour & candy,2024-07,15,300,0.074257
Cola & soda,2024-07,15,300,0.074257
Berry,2024-07,21,300,0.10396
